variable,mu_c,CI_c_lower,CI_c_upper
153,33979.42733701132,33374.66804738797,34584.18662663468
154,33956.46471941017,33330.89652535397,34582.03291346637
155,33930.935202663895,33285.425398558815,34576.445006768976
156,33864.87239653381,33146.081598604316,34583.66319446331
157,33880.97304267671,33158.08413984859,34603.86194550482
158,33852.12203765019,33063.86663556257,34640.37743973781
159,33836.23265330043,33043.81115520268,34628.654151398165
160,33853.31843608059,33076.605382489775,34630.03148967142
161,33832.43166018412,33013.42745771489,34651.435862653336
162,33807.822014099605,33014.288669137386,34601.35535906181
163,33803.457140552884,33073.702631116765,34533.211649989
164,33815.26910180564,33074.08486352513,34556.45334008614
165,33781.3303026878,33063.37729821826,34499.28330715733
166,33735.89901674983,32989.89069287923,34481.907340620426
167,33722.37330535898,32964.40326678979,34480.34334392817
168,33760.36767161331,32988.736790849114,34531.99855237751
169,33753.18293426382,32937.37748120394,34568.98838732372
170,33774.49958130677,32940.721307586464,34608.27785502708
171,33744.03224104609,32953.214318286984,34534.850163805204
172,33705.93784122418,32944.42019156919,34467.45549087917
173,33693.33167173212,32939.04530033309,34447.61804313114
174,33628.2121101889,32833.48389082842,34422.94032954936
175,33590.86920672424,32811.57309366684,34370.165319781634
176,33600.526387876394,32835.73257250747,34365.32020324532
177,33625.34826914444,32839.60278921123,34411.09374907763
178,33589.42888594531,32806.318655130635,34372.53911675998
179,33546.778703380485,32779.35786662673,34314.19954013423
180,33561.4611714041,32782.631027697214,34340.29131511099
181,33555.67124928615,32789.272993544575,34322.06950502772
182,33524.198172289354,32775.5096648358,34272.88667974291
183,33510.90160364138,32797.63728650292,34224.165920779844
184,33529.91373090421,32806.104356884316,34253.72310492411
185,33579.14092656492,32869.02930542804,34289.25254770181
186,33573.55269815245,32871.22800330961,34275.877392995295
187,33539.22773852016,32836.42339367582,34242.0320833645
188,33532.24632823743,32857.31491044598,34207.17774602888
189,33559.53407700757,32873.15577325735,34245.91238075779
190,33485.704252713986,32774.35136321732,34197.05714221065
191,33446.59671099811,32718.320786635257,34174.87263536096
192,33442.593525385426,32731.21928211922,34153.96776865164
193,33369.2070132017,32600.98087572793,34137.433150675475
194,33361.01313334639,32596.538614054036,34125.48765263874
195,33339.67486326782,32575.275907456667,34104.07381907898
196,33317.00974779602,32554.812187909793,34079.207307682256
197,33338.238895439164,32572.186260837698,34104.29153004063
198,33317.298569624654,32553.80771994029,34080.789419309
199,33278.70339073646,32511.003127764718,34046.403653708214
200,33265.71796927125,32517.127217015797,34014.30872152671
201,33222.26194006841,32497.175937820397,33947.34794231641
202,33234.786063912594,32502.805119870023,33966.76700795516
203,33235.79933637407,32505.704606472245,33965.89406627589
204,33221.72092536511,32485.154248333172,33958.287602397046
205,33206.4078417879,32467.373374987452,33945.44230858833
206,33114.47236064666,32328.816115590358,33900.12860570296
207,33100.423550052416,32379.19883468845,33821.64826541636
208,33063.7886251342,32341.435431016813,33786.141819251585
